domain	domain_type	bias
whitehouse.gov	right	conservative
972mag.com	leftcenter	liberal
americanimmigrationcouncil.org	leftcenter	liberal
9news.com	center	center
americamagazine.org	leftcenter	liberal
amny.com	leftcenter	liberal
allgov.com	leftcenter	liberal
alliedprogress.org	leftcenter	liberal
albertaviews.ca	leftcenter	liberal
timesunion.com	leftcenter	liberal
adn.com	leftcenter	liberal
al-sura.com	leftcenter	liberal
guttmacher.org	leftcenter	liberal
zootfeed.com	fake-news	conservative
democraticunderground.com	left	liberal
leftwingnation.org	left	liberal
leftvoice.org	left	liberal
nationalmemo.com	left	liberal
stpete4peace.org	left	liberal
zcomm.org	left	liberal
yourblackworld.net	left	liberal
tytnetwork.com	left	liberal
wsws.org	left	liberal
yesmagazine.org	left	liberal
workers.org	left	liberal
whowhatwhy.org	left	liberal
wonkette.com	left	liberal
whitehousewatch.com	left	liberal
washingtonpress.com	left	liberal
whatmattersnews.com	left	liberal
wearyourvoicemag.com	left	liberal
wehuntedthemammoth.com	left	liberal
washingtonian.com	left	liberal
washingtonsources.org	left	liberal
washingtondailywire.com	left	liberal
wallstreetonparade.com	left	liberal
vote.us.org	left	liberal
viraltitle.com	left	liberal
washingtonbabylon.com	left	liberal
verrit.com	left	liberal
vermontindependent.org	left	liberal
vox.com	left	liberal
verifiedpolitics.com	left	liberal
vanityfair.com	left	liberal
truthdig.com	left	liberal
upworthy.com	left	liberal
truthagainstthemachine.com	left	liberal
truthout.org	left	liberal
uproxx.com	left	liberal
tribunemagazine.org	left	liberal
theoswatch.com	left	liberal
treehugger.com	left	liberal
thegrio.com	left	liberal
thinkprogress.org	left	liberal
towleroad.com	left	liberal
them.us	left	liberal
this.org	left	liberal
worldcantwait.net	left	liberal
texasobserver.org	left	liberal
thelasource.com	left	liberal
theroot.com	left	liberal
thesternfacts.com	left	liberal
theweek.com	left	liberal
villagevoice.com	left	liberal
thewalrus.ca	left	liberal
samefacts.com	left	liberal
progressivefrontier.com	left	liberal
palestinechronicle.com	left	liberal
progressive.org	left	liberal
thenewcivilrightsmovement.com	left	liberal
theoutline.com	left	liberal
morningstaronline.co.uk	left	liberal
thenation.com	left	liberal
themilitant.com	left	liberal
themarysue.com	left	liberal
thelondoneconomic.com	left	liberal
thelily.com	left	liberal
indypendent.org	left	liberal
mavenroundtable.io	left	liberal
theimproper.com	left	liberal
ghionjournal.com	left	liberal
thefrisky.com	left	liberal
dworkinreport.com	left	liberal
thefloridasqueeze.com	left	liberal
theestablishment.co	left	liberal
thedodo.com	left	liberal
democratichub.com	left	liberal
thedailyvox.co.za	left	liberal
thedailybanter.com	left	liberal
the-daily.buzz	left	liberal
climaterealityproject.org	left	liberal
daily49er.com	left	liberal
thecanary.co	left	liberal
theburningspear.com	left	liberal
theblueroute.org	left	liberal
austinchronicle.com	left	liberal
prospect.org	left	liberal
