domain,ave_m,ave_m_log10
riverdalepress.com,50000.0,4.698970004336019
shondaland.com,190290.0,5.279415966117126
mtairynews.com,133980.0,5.127039973455082
minneapolisfed.org,62760.0,4.797682934914899
uniondemocrat.com,63150.0,4.80037335489135
sickchirpse.com,385880.0,5.586452269852228
rose-hulman.edu,300430.0,5.477743297785946
herald.ng,124920.0,5.096631975558161
magnumphotos.com,411180.0,5.6140319822010385
mises.org,1130000.0,6.05307844348342
foodandwaterwatch.org,94380.0,4.974879973006931
varsity.co.uk,216960.0,5.336379672186969
ucdavis.edu,12900000.0,7.110589710299249
aldianews.com,121120.0,5.083215862155997
smartbrief.com,946280.0,5.976019661203429
natchezdemocrat.com,196770.0,5.293958885621698
wmo.int,562560.0,5.750168849057659
centerforinquiry.org,139790.0,5.14547610488496
tweeddailynews.com.au,121090.0,5.083108279194735
balkaninsight.com,611920.0,5.786694647914236
newindianexpress.com,5190000.0,6.715167357848458
news-daily.com,163390.0,5.213225472773401
rediff.com,42840000.0,7.631849462159818
infowars.com,10680000.0,7.0285712526925375
mcsweeneys.net,1890000.0,6.276461804173244
thedailyrecord.com,111460.0,5.047119038720181
ntdaily.com,68720.0,4.837083150823186
indianapolisrecorder.com,50000.0,4.698970004336019
sapiens.org,210190.0,5.322612050188288
curiosity.com,75110.0,4.8756977619802075
takimag.com,304080.0,5.482987856595047
ufl.edu,11330000.0,7.054229909863397
onthesnow.com,353220.0,5.548045286195813
cato.org,944420.0,5.975165175566438
pogo.org,108260.0,5.034468022755043
asiasentinel.com,57760.0,4.761627184561583
weather.gov,69500000.0,7.841984804590114
spiked-online.com,2200000.0,6.342422680822207
enterprise-journal.com,103960.0,5.016866270828975
charitynavigator.org,791380.0,5.898385070444296
morungexpress.com,186910.0,5.271632537487123
adfontesmedia.com,434700.0,5.638189640190837
precisionvaccinations.com,78680.0,4.895864351247299
sciencehistory.org,152010.0,5.181872159010333
conservativetribune.com,1100000.0,6.041392685158225
uncp.edu,317300.0,5.501470072100412
suffolknewsherald.com,74140.0,4.870052581693545
army.mil,7200000.0,6.857332496431268
nptelegraph.com,166330.0,5.220970587520289
dcdirtylaundry.com,243380.0,5.386284886767858
newspress.com,65500.0,4.816241299991783
foodrenegade.com,64209.99999999999,4.807602669916495
wbjournal.com,75770.0,4.879497287249428
oxfordstudent.com,103240.0,5.013847995871831
sentinel-echo.com,50000.0,4.698970004336019
dailyfreepress.com,50000.0,4.698970004336019
ufo-spain.com,302500.0,5.480725378988487
notrickszone.com,81280.0,4.909983694939844
business2community.com,1020000.0,6.008600171761918
fairus.org,142600.0,5.1541195255158465
nationalaffairs.com,112780.0,5.0522320902523346
truthout.org,1250000.0,6.096910013008056
legit.ng,23670000.0,7.374198257929082
flagandcross.com,442840.0,5.6462468420953265
eurekalert.org,1470000.0,6.1673173347481764
gbtribune.com,93320.0,4.969974730121715
oxfordeagle.com,50000.0,4.698970004336019
mondediplo.com,80780.0,4.907303848833969
uab.edu,2009999.9999999998,6.303196057420489
turlockjournal.com,50000.0,4.698970004336019
dailygrail.com,60320.0,4.780461332861718
mid-day.com,2690000.0,6.429752280002408
rawconservativeopinions.com,1140000.0,6.056904851336473
romesentinel.com,200420.0,5.301941057795204
avclub.com,9080000.0,6.958085848521085
northwestern.edu,7770000.0,6.8904210188009145
elespectador.com,13430000.0,7.128076012668715
leaderpost.com,479580.0,5.680861063353521
oudaily.com,125110.0,5.097292024091896
semana.com,19460000.0,7.289142835932333
prweb.com,1280000.0,6.107209969647869
shef.ac.uk,2570000.0,6.409933123331294
polygon.com,23400000.0,7.3692158574101425
ottumwacourier.com,56250.0,4.7501225267834
austindailyherald.com,162420.0,5.21063950615415
genengnews.com,459950.0,5.662710623193903
yoursun.com,552370.0,5.742230083396351
csis.org,1040000.0,6.017033339298781
sandmountainreporter.com,50000.0,4.698970004336019
lamag.com,1320000.0,6.12057393120585
theprogress.com,325870.0,5.513044380611925
whitsundaytimes.com.au,81930.0,4.913442954859396
thedrum.com,1010000.0,6.004321373782642
delrionewsherald.com,50000.0,4.698970004336019
thetelegram.com,553760.0,5.7433215819500525
gwu.edu,4330000.0,6.636487896353366
investors.com,19540000.0,7.290924559382754
swvatoday.com,64410.0,4.808953299155911
crisisgroup.org,412880.0,5.615823846061895
sourcepolitics.com,50000.0,4.698970004336019
apa.org,9990000.0,6.999565488225982
universetoday.com,1690000.0,6.227886704613674
amsterdamnews.com,85310.0,4.930999941956152
ancient-code.com,151430.0,5.180211922348941
livemint.com,24670000.0,7.392169149489736
newportnewstimes.com,61980.0,4.792251571903265
umkc.edu,599210.0,5.777579052536169
mavenroundtable.io,269620.0,5.430752104359859
zeit.de,54490000.0,7.7363168079041085
disclose.tv,651040.0,5.81360767250921
palmbeachdailynews.com,96480.0,4.984437294796076
patriotnewsalerts.com,1520000.0,6.181843587944773
federalnewsnetwork.com,979510.0,5.9910088741466305
eacourier.com,56370.0,4.7510480348201884
newarkpostonline.com,105380.0,5.022758194236769
wtop.com,4740000.0,6.675778341674085
nrtoday.com,105920.0,5.024977972095625
newsandguts.com,1440000.0,6.158362492095249
bongino.com,5770000.0,6.761175813155732
cair.com,70190.0,4.846275242412213
inc.com,13650000.0,7.135132651376775
gistreel.com,1170000.0,6.068185861746161
greatamericandaily.com,323950.0,5.510477984281345
christiantoday.com,448880.0,5.6521302556954005
secondamendmentdaily.com,59560.0,4.774954689080139
refdesk.com,1000000.0,6.0
reddit.com,1550000000.0,9.190331698170292
ualr.edu,574160.0,5.75903293322426
si.edu,6160000.0,6.789580712164425
wadenapj.com,88390.0,4.946403133899055
siasat.com,3520000.0,6.546542663478131
walesonline.co.uk,16510000.000000002,7.217747073262793
piquenewsmagazine.com,125680.0,5.099266172031917
psn.si,60960.0,4.785044958331544
the-messenger.com,83080.0,4.919496487863062
yaledailynews.com,292730.0,5.466467232740638
universalhub.com,562580.0,5.750184288717859
umn.edu,17800000.0,7.250420002308894
utk.edu,2180000.0,6.338456493604605
yelmonline.com,50000.0,4.698970004336019
onlinenewspapers.com,163650.0,5.213916009644024
gatestoneinstitute.org,636920.0,5.804084886432
sfu.ca,5790000.0,6.7626785637274365
atmoreadvance.com,50370.0,4.702171950857712
freedomnewsreport.com,70360.0,4.847325830785423
aftonbladet.se,85850000.0,7.933740299496935
weatherbug.com,5390000.0,6.731588765186738
vanguardngr.com,17480000.0,7.242541428298384
thefacts.com,170600.0,5.231979026831504
mercatus.org,126790.0,5.103085001841614
saturdayeveningpost.com,363560.0,5.560576094751004
bbci.co.uk,1340000.0,6.127104798364807
usask.ca,1960000.0,6.292256071356476
palestineherald.com,54780.0,4.738622027917943
kingfeatures.com,59450.0,4.774151858954711
tctimes.com,51850.0,4.71474876072506
thedodo.com,4030000.0000000005,6.605305046141109
parispi.net,67030.0,4.826269219393726
tribuneledgernews.com,149430.0,5.174437796452046
fox35orlando.com,2310000.0,6.363611979892144
umass.edu,5410000.0,6.733197265106569
vanderbilthustler.com,50000.0,4.698970004336019
tplnews.com,50000.0,4.698970004336019
healio.com,2570000.0,6.409933123331294
anh-usa.org,64660.0,4.8106357002755376
waynecojournalbanner.com,91650.0,4.962132469298235
mdcoastdispatch.com,96360.0,4.9838967913263055
cheezburger.com,9340000.0,6.970346876230093
samessenger.com,217160.0,5.336779832983642
starlocalmedia.com,243870.0,5.387158378272713
seguingazette.com,50000.0,4.698970004336019
nvdaily.com,158460.0,5.199919651590568
cloverchronicle.com,50000.0,4.698970004336019
nla.gov.au,1840000.0,6.264817823009537
crowrivermedia.com,87550.0,4.942256150419465
dailyhealthpost.com,68370.0,4.834865579900038
leftaction.com,66750.0,4.8244512700366124
theadvocates.org,86840.0,4.938719814782383
wokesloth.com,60560.0,4.782185866492016
americanimmigrationcouncil.org,149400.0,5.17435059747938
arrests.org,4630000.0,6.665580991017953
areomagazine.com,166890.0,5.222430314660491
wenatcheeworld.com,188790.0,5.275978986467148
cntraveller.in,384400.0,5.584783378996508
umich.edu,17200000.0,7.235528446907549
radioformula.com.mx,6150000.0,6.788875115775417
clantonadvertiser.com,72600.0,4.860936620700094
howtogeek.com,30270000.0,7.4810124209565725
swampdrain.com,50000.0,4.698970004336019
ucalgary.ca,5420000.0,6.733999286538387
superiortelegram.com,164780.0,5.216904498521672
zougla.gr,9640000.0,6.984077033902831
theregister.co.uk,50000.0,4.698970004336019
