domain,fakes_facebook,fakes_external,fakes_union,real
amherst.edu,0,0,0,1
kystandard.com,0,0,0,1
bosquecountytoday.com,0,0,0,1
viiphoto.com,0,0,0,1
jacksonville.com,0,0,0,1
panews.com,0,0,0,1
westfieldpost.com,1,1,1,0
theintelligencer.net,0,0,0,1
roysecityheraldbanner.com,0,0,0,1
transcripts.ie,0,0,0,1
kinyradio.com,0,0,0,1
tracknewsonline.com,0,0,0,1
shorensteincenter.org,0,0,0,1
contactpressimages.com,0,0,0,1
recipeslite.com,1,0,1,0
mitchellnews.com,0,0,0,1
theodysseyonline.com,0,0,0,1
constitutionproject.org,0,0,0,1
psychologytoday.com,0,0,0,1
egyptianstreets.com,0,0,0,1
kearneyhub.com,0,0,0,1
womenspress.com,0,0,0,1
actionunlimited.com,0,0,0,1
econofact.org,0,0,0,1
lbbizjournal.com,0,0,0,1
tahoedailytribune.com,0,0,0,1
dgorton.com,0,0,0,1
govtslaves.com,0,1,1,0
txstate.edu,0,0,0,1
amateurpress.org,0,0,0,1
departedme.com,0,1,1,0
viralcords.com,0,1,1,0
joshdean.com,0,0,0,1
hollandsentinel.com,0,0,0,1
truthuncensoRed.net,0,1,1,0
spectacle.org,0,0,0,1
threepercenternation.com,0,1,1,0
plaindealer-sun.com,0,0,0,1
americanheritage.com,0,0,0,1
sharoncavanagh.com,0,0,0,1
alamosanews.com,0,0,0,1
freakoutnation.com,0,1,1,0
kdvr.com,0,0,0,1
politifeed.net,0,0,0,1
universalhub.com,0,0,0,1
blacklivesmatter.com,0,0,0,1
hotglobalnews.com,0,1,1,0
umt.edu,0,0,0,1
westernwheel.com,0,0,0,1
frontpagelive.com,0,0,0,1
sarahandrews.com,0,0,0,1
uiowa.edu,0,0,0,1
hogreve.de,0,0,0,1
sudurbusiness.com,1,0,1,0
albertatimes.com,0,1,1,0
itemlive.com,0,0,0,1
firstcoastnews.com,0,0,0,1
shoppernews.com,0,0,0,1
nclawyersweekly.com,0,0,0,1
babblestorm.co.uk,0,0,0,1
rosemarybasil.net,0,0,0,1
iea.org,0,0,0,1
theberrienpress.com,0,0,0,1
newsnow11.com,1,0,1,0
angelahubbard.com,0,0,0,1
newsammo.com,0,1,1,0
romesentinel.com,0,0,0,1
duncanbanner.com,0,0,0,1
lynx.media,0,0,0,1
ppindependent.net,0,0,0,1
oregonnewspress61.site,1,0,1,0
ashleycountyledger.com,0,0,0,1
readconservatives.news,0,1,1,0
breezejmu.org,0,0,0,1
patriotupdate.com,0,1,1,0
usalertnews.pro,1,0,1,0
bigamericannews.com,0,1,1,0
insideedition.com,0,0,0,1
breakingnewsblast.com,0,1,1,0
canoe.com,0,0,0,1
patriotusa.press,1,0,1,0
plantsalud.com,1,0,1,0
citizensvoice.com,0,0,0,1
davidwarrenonline.com,0,0,0,1
ips-dc.org,0,0,0,1
barnstablepatriot.com,0,0,0,1
thetexasspur.com,0,0,0,1
medicalxpress.com,0,0,0,1
newswire-24.com,0,1,1,0
alynews.com,0,1,1,0
southernconservativeextra.com,0,1,1,0
whitesalmonenterprise.com,0,0,0,1
usanewsinsider.com,0,1,1,0
jackwebster.com,0,0,0,1
omaha.com,0,0,0,1
rickedly.life,1,0,1,0
12news.com,0,0,0,1
dailyreporter.com,0,0,0,1
worldnewspolitics.com,0,1,1,0
berlingske.dk,0,0,0,1
theguardian.pe.ca,0,0,0,1
peta.org,0,1,1,0
1701wire.com,0,0,0,1
theconcordian.org,0,0,0,1
thepostnewspaper.net,0,0,0,1
